Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
74;16.0;22.0;0.9;8;80;5;Successful;Effective;collision;20.18;vtypeauto.1;vtypeauto.0;542.49;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.32;-7.24;0.38;-7.59;0.41;-7.43;0.43;-6.58;0.44;-5.97;0.44;-6.0;CACC
75;16.0;22.0;0.9;10;80;5;Successful;Effective;collision;21.28;vtypeauto.1;vtypeauto.0;563.04;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.32;-7.24;0.38;-7.59;0.41;-7.43;0.43;-6.33;0.44;-5.95;0.44;-6.0;CACC
76;16.0;22.0;0.9;5;100;5;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;625.02;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;0.51;-7.63;0.54;-6.97;0.55;-6.27;0.55;-6.17;CACC
77;16.0;22.0;0.9;8;100;5;Successful;Effective;collision;20.25;vtypeauto.1;vtypeauto.0;661.70;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;0.51;-7.62;0.54;-6.97;0.55;-6.3;0.55;-6.18;CACC
78;16.0;22.0;0.9;10;100;5;Successful;Effective;collision;21.42;vtypeauto.1;vtypeauto.0;688.56;edge_0_0_0;0.0;-5.0;0.25;-6.42;0.39;-7.25;0.47;-7.6;0.51;-7.6;0.54;-6.85;0.55;-6.28;0.55;-6.19;CACC
79;16.0;22.0;0.9;5;80;6;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;506.32;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.32;-8.69;0.38;-9.0;0.41;-8.85;0.43;-7.53;0.44;-7.13;0.44;-7.15;CACC
80;16.0;22.0;0.9;8;80;6;Successful;Effective;collision;19.68;vtypeauto.1;vtypeauto.0;534.98;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.32;-8.69;0.38;-9.0;0.41;-8.8;0.43;-7.39;0.44;-7.05;0.44;-7.15;CACC
81;16.0;22.0;0.9;10;80;6;Successful;Effective;collision;20.27;vtypeauto.1;vtypeauto.0;553.24;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.32;-8.69;0.38;-9.0;0.41;-8.8;0.43;-7.39;0.44;-7.05;0.44;-7.15;CACC
82;16.0;22.0;0.9;5;100;6;Successful;Effective;collision;19.04;vtypeauto.1;vtypeauto.0;618.89;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;0.51;-9.0;0.54;-8.25;0.55;-7.32;0.55;-7.26;CACC
83;16.0;22.0;0.9;8;100;6;Successful;Effective;collision;19.72;vtypeauto.1;vtypeauto.0;650.97;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;0.51;-9.0;0.54;-8.19;0.55;-7.32;0.55;-7.26;CACC
84;16.0;22.0;0.9;10;100;6;Successful;Effective;collision;20.33;vtypeauto.1;vtypeauto.0;672.61;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;0.51;-9.0;0.54;-7.43;0.55;-7.25;0.55;-7.27;CACC
85;16.0;22.0;0.9;5;80;7;Successful;Effective;collision;18.82;vtypeauto.1;vtypeauto.0;503.00;edge_0_0_0;0.0;-7.0;0.2;-8.98;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-7.9;0.44;-7.94;0.44;-8.01;CACC
86;16.0;22.0;0.9;8;80;7;Successful;Effective;collision;19.37;vtypeauto.1;vtypeauto.0;529.97;edge_0_0_0;0.0;-7.0;0.2;-8.98;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-7.9;0.44;-7.94;0.44;-8.01;CACC
87;16.0;22.0;0.9;10;80;7;Successful;Effective;collision;19.80;vtypeauto.1;vtypeauto.0;547.18;edge_0_0_0;0.0;-7.0;0.2;-8.98;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-7.9;0.44;-7.94;0.44;-8.01;CACC
88;16.0;22.0;0.9;5;100;7;Successful;Effective;collision;18.86;vtypeauto.1;vtypeauto.0;614.41;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.37;0.55;-8.44;CACC
89;16.0;22.0;0.9;8;100;7;Successful;Effective;collision;19.41;vtypeauto.1;vtypeauto.0;644.27;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-8.83;0.55;-8.36;0.55;-8.43;CACC
90;16.0;22.0;0.9;10;100;7;Successful;Effective;collision;19.84;vtypeauto.1;vtypeauto.0;663.74;edge_0_0_0;0.0;-7.0;0.25;-8.98;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-8.64;0.55;-8.28;0.55;-8.39;CACC
